PRECINCT NUMBER,PRECINCT NAME,DISTRICT NUMBER,DISTRICT NAME,DISTRICT TYPE,DISTRICT TYPE ABBR
6,PRECINCT 6,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
6,PRECINCT 6,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
6,PRECINCT 6,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
6,PRECINCT 6,30,SMD 01-ANC 2E,SINGLE MEMBER DISTRICT,SMD
6,PRECINCT 6,30,SMD 02-ANC 2E,SINGLE MEMBER DISTRICT,SMD
6,PRECINCT 6,30,SMD 03-ANC 2E,SINGLE MEMBER DISTRICT,SMD
6,PRECINCT 6,30,SMD 04-ANC 2E,SINGLE MEMBER DISTRICT,SMD
6,PRECINCT 6,30,SMD 05-ANC 2E,SINGLE MEMBER DISTRICT,SMD
7,PRECINCT 7,20,ANC 3D SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
7,PRECINCT 7,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
7,PRECINCT 7,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
7,PRECINCT 7,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
7,PRECINCT 7,30,SMD 06-ANC 3D,SINGLE MEMBER DISTRICT,SMD
7,PRECINCT 7,30,SMD 09-ANC 3D,SINGLE MEMBER DISTRICT,SMD
8,PRECINCT 8,20,ANC 3D SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
8,PRECINCT 8,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
8,PRECINCT 8,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
8,PRECINCT 8,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
8,PRECINCT 8,30,SMD 01-ANC 3D,SINGLE MEMBER DISTRICT,SMD
8,PRECINCT 8,30,SMD 04-ANC 3D,SINGLE MEMBER DISTRICT,SMD
8,PRECINCT 8,30,SMD 05-ANC 3D,SINGLE MEMBER DISTRICT,SMD
8,PRECINCT 8,30,SMD 06-ANC 3D,SINGLE MEMBER DISTRICT,SMD
9,PRECINCT 9,20,ANC 3D SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
9,PRECINCT 9,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
9,PRECINCT 9,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
9,PRECINCT 9,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
9,PRECINCT 9,30,SMD 01-ANC 3D,SINGLE MEMBER DISTRICT,SMD
9,PRECINCT 9,30,SMD 02-ANC 3D,SINGLE MEMBER DISTRICT,SMD
9,PRECINCT 9,30,SMD 03-ANC 3D,SINGLE MEMBER DISTRICT,SMD
9,PRECINCT 9,30,SMD 04-ANC 3D,SINGLE MEMBER DISTRICT,SMD
9,PRECINCT 9,30,SMD 07-ANC 3D,SINGLE MEMBER DISTRICT,SMD
10,PRECINCT 10,20,ANC 3B SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
10,PRECINCT 10,20,ANC 3D SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
10,PRECINCT 10,20,ANC 3E SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
10,PRECINCT 10,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
10,PRECINCT 10,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
10,PRECINCT 10,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
10,PRECINCT 10,30,SMD 01-ANC 3D,SINGLE MEMBER DISTRICT,SMD
10,PRECINCT 10,30,SMD 02-ANC 3D,SINGLE MEMBER DISTRICT,SMD
10,PRECINCT 10,30,SMD 04-ANC 3B,SINGLE MEMBER DISTRICT,SMD
10,PRECINCT 10,30,SMD 05-ANC 3E,SINGLE MEMBER DISTRICT,SMD
10,PRECINCT 10,30,SMD 08-ANC 3D,SINGLE MEMBER DISTRICT,SMD
11,PRECINCT 11,20,ANC 3B SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
11,PRECINCT 11,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
11,PRECINCT 11,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
11,PRECINCT 11,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
11,PRECINCT 11,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
11,PRECINCT 11,30,SMD 01-ANC 3B,SINGLE MEMBER DISTRICT,SMD
11,PRECINCT 11,30,SMD 02-ANC 3B,SINGLE MEMBER DISTRICT,SMD
11,PRECINCT 11,30,SMD 03-ANC 3B,SINGLE MEMBER DISTRICT,SMD
11,PRECINCT 11,30,SMD 05-ANC 3B,SINGLE MEMBER DISTRICT,SMD
11,PRECINCT 11,30,SMD 08-ANC 3C,SINGLE MEMBER DISTRICT,SMD
12,PRECINCT 12,20,ANC 3B SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
12,PRECINCT 12,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
12,PRECINCT 12,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
12,PRECINCT 12,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
12,PRECINCT 12,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
12,PRECINCT 12,30,SMD 02-ANC 3B,SINGLE MEMBER DISTRICT,SMD
12,PRECINCT 12,30,SMD 07-ANC 3C,SINGLE MEMBER DISTRICT,SMD
12,PRECINCT 12,30,SMD 08-ANC 3C,SINGLE MEMBER DISTRICT,SMD
13,PRECINCT 13,20,ANC 2D SMD 1-2,ADVISORY NEIGHBORHOOD COMM,ANC
13,PRECINCT 13,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
13,PRECINCT 13,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
13,PRECINCT 13,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
13,PRECINCT 13,30,SMD 01-ANC 2D,SINGLE MEMBER DISTRICT,SMD
13,PRECINCT 13,30,SMD 02-ANC 2D,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,20,ANC 2B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
14,PRECINCT 14,20,ANC 2D SMD 1-2,ADVISORY NEIGHBORHOOD COMM,ANC
14,PRECINCT 14,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
14,PRECINCT 14,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
14,PRECINCT 14,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
14,PRECINCT 14,30,SMD 01-ANC 2B,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,30,SMD 02-ANC 2B,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,30,SMD 02-ANC 2D,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,30,SMD 03-ANC 2B,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,30,SMD 06-ANC 2B,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,30,SMD 07-ANC 2B,SINGLE MEMBER DISTRICT,SMD
14,PRECINCT 14,30,SMD 08-ANC 2B,SINGLE MEMBER DISTRICT,SMD
15,PRECINCT 15,20,ANC 2B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
15,PRECINCT 15,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
15,PRECINCT 15,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
15,PRECINCT 15,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
15,PRECINCT 15,30,SMD 01-ANC 2B,SINGLE MEMBER DISTRICT,SMD
15,PRECINCT 15,30,SMD 03-ANC 2B,SINGLE MEMBER DISTRICT,SMD
15,PRECINCT 15,30,SMD 04-ANC 2B,SINGLE MEMBER DISTRICT,SMD
15,PRECINCT 15,30,SMD 05-ANC 2B,SINGLE MEMBER DISTRICT,SMD
15,PRECINCT 15,30,SMD 07-ANC 2B,SINGLE MEMBER DISTRICT,SMD
16,PRECINCT 16,20,ANC 2B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
16,PRECINCT 16,20,ANC 2F SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
16,PRECINCT 16,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
16,PRECINCT 16,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
16,PRECINCT 16,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
16,PRECINCT 16,30,SMD 01-ANC 2F,SINGLE MEMBER DISTRICT,SMD
16,PRECINCT 16,30,SMD 02-ANC 2F,SINGLE MEMBER DISTRICT,SMD
16,PRECINCT 16,30,SMD 04-ANC 2B,SINGLE MEMBER DISTRICT,SMD
16,PRECINCT 16,30,SMD 05-ANC 2B,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,20,ANC 2B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
17,PRECINCT 17,20,ANC 2F SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
17,PRECINCT 17,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
17,PRECINCT 17,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
17,PRECINCT 17,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
17,PRECINCT 17,30,SMD 02-ANC 2B,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 02-ANC 2F,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 03-ANC 2F,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 04-ANC 2F,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 05-ANC 2B,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 05-ANC 2F,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 06-ANC 2B,SINGLE MEMBER DISTRICT,SMD
17,PRECINCT 17,30,SMD 06-ANC 2F,SINGLE MEMBER DISTRICT,SMD
18,PRECINCT 18,20,ANC 2C SMD 1-4,ADVISORY NEIGHBORHOOD COMM,ANC
18,PRECINCT 18,20,ANC 2F SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
18,PRECINCT 18,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
18,PRECINCT 18,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
18,PRECINCT 18,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
18,PRECINCT 18,30,SMD 01-ANC 2C,SINGLE MEMBER DISTRICT,SMD
18,PRECINCT 18,30,SMD 02-ANC 2C,SINGLE MEMBER DISTRICT,SMD
18,PRECINCT 18,30,SMD 03-ANC 2C,SINGLE MEMBER DISTRICT,SMD
18,PRECINCT 18,30,SMD 04-ANC 2C,SINGLE MEMBER DISTRICT,SMD
18,PRECINCT 18,30,SMD 06-ANC 2F,SINGLE MEMBER DISTRICT,SMD
19,PRECINCT 19,20,ANC 5C SMD 1-12,ADVISORY NEIGHBORHOOD COMM,ANC
19,PRECINCT 19,10,CITY OF WASHINGTON WARD 5,CITY WARD ,WARD
19,PRECINCT 19,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
19,PRECINCT 19,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
19,PRECINCT 19,30,SMD 01-ANC 5C,SINGLE MEMBER DISTRICT,SMD
19,PRECINCT 19,30,SMD 02-ANC 5C,SINGLE MEMBER DISTRICT,SMD
19,PRECINCT 19,30,SMD 03-ANC 5C,SINGLE MEMBER DISTRICT,SMD
20,PRECINCT 20,20,ANC 1B SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
20,PRECINCT 20,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
20,PRECINCT 20,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
20,PRECINCT 20,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
20,PRECINCT 20,30,SMD 01-ANC 1B,SINGLE MEMBER DISTRICT,SMD
20,PRECINCT 20,30,SMD 10-ANC 1B,SINGLE MEMBER DISTRICT,SMD
20,PRECINCT 20,30,SMD 11-ANC 1B,SINGLE MEMBER DISTRICT,SMD
21,PRECINCT 21,20,ANC 2C SMD 1-4,ADVISORY NEIGHBORHOOD COMM,ANC
21,PRECINCT 21,20,ANC 2F SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
21,PRECINCT 21,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
21,PRECINCT 21,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
21,PRECINCT 21,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
21,PRECINCT 21,30,SMD 01-ANC 2C,SINGLE MEMBER DISTRICT,SMD
21,PRECINCT 21,30,SMD 02-ANC 2C,SINGLE MEMBER DISTRICT,SMD
21,PRECINCT 21,30,SMD 06-ANC 2F,SINGLE MEMBER DISTRICT,SMD
22,PRECINCT 22,20,ANC 1B SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
22,PRECINCT 22,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
22,PRECINCT 22,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
22,PRECINCT 22,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
22,PRECINCT 22,30,SMD 02-ANC 1B,SINGLE MEMBER DISTRICT,SMD
22,PRECINCT 22,30,SMD 04-ANC 1B,SINGLE MEMBER DISTRICT,SMD
22,PRECINCT 22,30,SMD 05-ANC 1B,SINGLE MEMBER DISTRICT,SMD
23,PRECINCT 23,20,ANC 1B SMD 1-11,ADVISORY NEIGHBORHOOD COMM,ANC
23,PRECINCT 23,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
23,PRECINCT 23,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
23,PRECINCT 23,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
23,PRECINCT 23,30,SMD 03-ANC 1B,SINGLE MEMBER DISTRICT,SMD
23,PRECINCT 23,30,SMD 04-ANC 1B,SINGLE MEMBER DISTRICT,SMD
23,PRECINCT 23,30,SMD 05-ANC 1B,SINGLE MEMBER DISTRICT,SMD
23,PRECINCT 23,30,SMD 06-ANC 1B,SINGLE MEMBER DISTRICT,SMD
24,PRECINCT 24,20,ANC 1C SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
24,PRECINCT 24,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
24,PRECINCT 24,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
24,PRECINCT 24,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
24,PRECINCT 24,30,SMD 07-ANC 1C,SINGLE MEMBER DISTRICT,SMD
24,PRECINCT 24,30,SMD 08-ANC 1C,SINGLE MEMBER DISTRICT,SMD
25,PRECINCT 25,20,ANC 1C SMD 1-8,ADVISORY NEIGHBORHOOD COMM,ANC
25,PRECINCT 25,10,CITY OF WASHINGTON WARD 1,CITY WARD ,WARD
25,PRECINCT 25,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
25,PRECINCT 25,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
25,PRECINCT 25,30,SMD 01-ANC 1C,SINGLE MEMBER DISTRICT,SMD
25,PRECINCT 25,30,SMD 02-ANC 1C,SINGLE MEMBER DISTRICT,SMD
25,PRECINCT 25,30,SMD 03-ANC 1C,SINGLE MEMBER DISTRICT,SMD
26,PRECINCT 26,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
26,PRECINCT 26,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
26,PRECINCT 26,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
26,PRECINCT 26,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
26,PRECINCT 26,30,SMD 02-ANC 3C,SINGLE MEMBER DISTRICT,SMD
26,PRECINCT 26,30,SMD 03-ANC 3C,SINGLE MEMBER DISTRICT,SMD
26,PRECINCT 26,30,SMD 08-ANC 3C,SINGLE MEMBER DISTRICT,SMD
27,PRECINCT 27,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
27,PRECINCT 27,20,ANC 3F SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
27,PRECINCT 27,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
27,PRECINCT 27,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
27,PRECINCT 27,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
27,PRECINCT 27,30,SMD 01-ANC 3F,SINGLE MEMBER DISTRICT,SMD
27,PRECINCT 27,30,SMD 05-ANC 3C,SINGLE MEMBER DISTRICT,SMD
27,PRECINCT 27,30,SMD 07-ANC 3F,SINGLE MEMBER DISTRICT,SMD
27,PRECINCT 27,30,SMD 09-ANC 3C,SINGLE MEMBER DISTRICT,SMD
28,PRECINCT 28,20,ANC 3B SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
28,PRECINCT 28,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
28,PRECINCT 28,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
28,PRECINCT 28,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
28,PRECINCT 28,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
28,PRECINCT 28,30,SMD 01-ANC 3B,SINGLE MEMBER DISTRICT,SMD
28,PRECINCT 28,30,SMD 04-ANC 3B,SINGLE MEMBER DISTRICT,SMD
28,PRECINCT 28,30,SMD 07-ANC 3C,SINGLE MEMBER DISTRICT,SMD
28,PRECINCT 28,30,SMD 08-ANC 3C,SINGLE MEMBER DISTRICT,SMD
29,PRECINCT 29,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
29,PRECINCT 29,20,ANC 3F SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
29,PRECINCT 29,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
29,PRECINCT 29,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
29,PRECINCT 29,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
29,PRECINCT 29,30,SMD 01-ANC 3F,SINGLE MEMBER DISTRICT,SMD
29,PRECINCT 29,30,SMD 05-ANC 3C,SINGLE MEMBER DISTRICT,SMD
29,PRECINCT 29,30,SMD 06-ANC 3C,SINGLE MEMBER DISTRICT,SMD
29,PRECINCT 29,30,SMD 07-ANC 3C,SINGLE MEMBER DISTRICT,SMD
29,PRECINCT 29,30,SMD 09-ANC 3C,SINGLE MEMBER DISTRICT,SMD
30,PRECINCT 30,20,ANC 3E SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
30,PRECINCT 30,20,ANC 3F SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
30,PRECINCT 30,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
30,PRECINCT 30,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
30,PRECINCT 30,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
30,PRECINCT 30,30,SMD 01-ANC 3E,SINGLE MEMBER DISTRICT,SMD
30,PRECINCT 30,30,SMD 03-ANC 3E,SINGLE MEMBER DISTRICT,SMD
30,PRECINCT 30,30,SMD 05-ANC 3E,SINGLE MEMBER DISTRICT,SMD
30,PRECINCT 30,30,SMD 06-ANC 3F,SINGLE MEMBER DISTRICT,SMD
31,PRECINCT 31,20,ANC 3E SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
31,PRECINCT 31,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
31,PRECINCT 31,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
31,PRECINCT 31,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
31,PRECINCT 31,30,SMD 02-ANC 3E,SINGLE MEMBER DISTRICT,SMD
31,PRECINCT 31,30,SMD 03-ANC 3E,SINGLE MEMBER DISTRICT,SMD
32,PRECINCT 32,20,ANC 3E SMD 1-5,ADVISORY NEIGHBORHOOD COMM,ANC
32,PRECINCT 32,20,ANC 3F SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
32,PRECINCT 32,20,ANC 3G SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
32,PRECINCT 32,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
32,PRECINCT 32,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
32,PRECINCT 32,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
32,PRECINCT 32,30,SMD 04-ANC 3E,SINGLE MEMBER DISTRICT,SMD
32,PRECINCT 32,30,SMD 06-ANC 3F,SINGLE MEMBER DISTRICT,SMD
32,PRECINCT 32,30,SMD 06-ANC 3G,SINGLE MEMBER DISTRICT,SMD
32,PRECINCT 32,30,SMD 07-ANC 3G,SINGLE MEMBER DISTRICT,SMD
33,PRECINCT 33,20,ANC 3F SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
33,PRECINCT 33,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
33,PRECINCT 33,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
33,PRECINCT 33,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
33,PRECINCT 33,30,SMD 01-ANC 3F,SINGLE MEMBER DISTRICT,SMD
33,PRECINCT 33,30,SMD 02-ANC 3F,SINGLE MEMBER DISTRICT,SMD
33,PRECINCT 33,30,SMD 04-ANC 3F,SINGLE MEMBER DISTRICT,SMD
33,PRECINCT 33,30,SMD 05-ANC 3F,SINGLE MEMBER DISTRICT,SMD
33,PRECINCT 33,30,SMD 06-ANC 3F,SINGLE MEMBER DISTRICT,SMD
34,PRECINCT 34,20,ANC 3C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
34,PRECINCT 34,20,ANC 3F SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
34,PRECINCT 34,10,CITY OF WASHINGTON WARD 3,CITY WARD ,WARD
34,PRECINCT 34,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
34,PRECINCT 34,1,2ND CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
34,PRECINCT 34,30,SMD 01-ANC 3C,SINGLE MEMBER DISTRICT,SMD
34,PRECINCT 34,30,SMD 02-ANC 3F,SINGLE MEMBER DISTRICT,SMD
